round,player_fund,dealer_fund
8829,-25.920000000001053,4471.920000000094
8830,-26.920000000001053,4472.920000000094
8831,-27.920000000001053,4473.920000000094
8832,-26.940000000001053,4473.940000000094
8833,-25.960000000001052,4473.960000000095
8834,-26.960000000001052,4474.960000000095
8835,-25.980000000001052,4474.980000000095
8836,-25.00000000000105,4475.0000000000955
8837,-24.02000000000105,4475.020000000096
8838,-25.02000000000105,4476.020000000096
8839,-24.04000000000105,4476.040000000096
8840,-25.04000000000105,4477.040000000096
8841,-24.06000000000105,4477.060000000097
8842,-23.08000000000105,4477.080000000097
8843,-24.08000000000105,4478.080000000097
8844,-23.10000000000105,4478.100000000098
8845,-24.10000000000105,4479.100000000098
8846,-25.10000000000105,4480.100000000098
8847,-26.10000000000105,4481.100000000098
8848,-27.10000000000105,4482.100000000098
8849,-28.10000000000105,4483.100000000098
8850,-27.12000000000105,4483.120000000098
8851,-26.14000000000105,4483.140000000099
8852,-25.160000000001048,4483.160000000099
8853,-26.160000000001048,4484.160000000099
8854,-25.180000000001048,4484.180000000099
8855,-24.200000000001047,4484.2000000001
8856,-23.220000000001047,4484.2200000001
8857,-24.220000000001047,4485.2200000001
8858,-23.240000000001046,4485.240000000101
8859,-24.240000000001046,4486.240000000101
8860,-25.240000000001046,4487.240000000101
8861,-26.240000000001046,4488.240000000101
8862,-27.240000000001046,4489.240000000101
8863,-28.240000000001046,4490.240000000101
8864,-29.240000000001046,4491.240000000101
8865,-28.260000000001046,4491.260000000101
8866,-29.260000000001046,4492.260000000101
8867,-30.260000000001046,4493.260000000101
8868,-29.280000000001046,4493.280000000102
8869,-30.280000000001046,4494.280000000102
8870,-31.280000000001046,4495.280000000102
8871,-30.300000000001045,4495.300000000102
8872,-31.300000000001045,4496.300000000102
8873,-30.320000000001045,4496.3200000001025
8874,-31.320000000001045,4497.3200000001025
8875,-30.340000000001044,4497.340000000103
8876,-29.360000000001044,4497.360000000103
8877,-28.380000000001044,4497.380000000104
8878,-27.400000000001043,4497.400000000104
8879,-28.400000000001043,4498.400000000104
8880,-27.420000000001043,4498.420000000105
8881,-28.420000000001043,4499.420000000105
8882,-27.440000000001042,4499.440000000105
8883,-28.440000000001042,4500.440000000105
8884,-29.440000000001042,4501.440000000105
8885,-28.460000000001042,4501.4600000001055
