player,player_fund,dealer_fund,round
649,0,30,464
650,0,30,248
651,0,30,108
652,0,30,98
653,30,0,160
654,30,0,238
655,30,0,170
656,30,0,114
657,30,0,118
658,0,30,40
659,30,0,370
660,0,30,182
661,30,0,92
662,30,0,472
663,30,0,434
664,0,30,26
665,0,30,26
666,0,30,80
667,0,30,32
668,30,0,234
669,0,30,134
670,0,30,114
671,0,30,94
672,0,30,164
673,30,0,112
674,30,0,184
675,0,30,76
676,0,30,68
677,0,30,146
678,0,30,358
679,0,30,206
680,0,30,174
681,0,30,100
682,0,30,146
683,0,30,22
684,0,30,62
685,0,30,220
686,0,30,78
687,0,30,244
688,0,30,28
689,0,30,346
690,0,30,30
691,30,0,248
692,0,30,308
693,30,0,310
694,0,30,36
695,30,0,564
696,0,30,16
697,0,30,212
698,0,30,76
699,0,30,28
700,0,30,148
701,0,30,90
702,0,30,238
703,0,30,222
704,0,30,428
705,30,0,292
706,0,30,576
707,0,30,394
708,0,30,934
709,30,0,156
710,0,30,214
711,0,30,232
712,0,30,38
713,30,0,128
714,0,30,216
715,0,30,84
716,0,30,36
717,0,30,122
718,30,0,106
719,0,30,282
720,0,30,102
721,30,0,724
722,0,30,120
723,0,30,230
724,30,0,108
725,30,0,926
726,0,30,390
727,0,30,20
728,0,30,68
729,30,0,352
730,0,30,540
731,30,0,128
732,0,30,76
733,30,0,328
734,0,30,72
735,0,30,38
736,0,30,58
737,0,30,22
738,30,0,246
739,0,30,14
740,30,0,76
741,30,0,358
742,0,30,18
743,0,30,100
744,0,30,106
745,30,0,274
746,30,0,212
747,30,0,160
748,0,30,34
749,0,30,34
750,30,0,250
751,0,30,70
752,0,30,106
753,0,30,392
754,0,30,88
755,30,0,148
756,30,0,120
757,30,0,104
758,30,0,130
759,30,0,194
760,0,30,116
761,0,30,164
762,30,0,312
763,30,0,196
764,30,0,118
765,0,30,18
766,0,30,186
767,0,30,92
768,0,30,122
769,30,0,106
770,0,30,76
771,0,30,96
772,30,0,176
773,30,0,462
774,30,0,420
775,0,30,200
776,0,30,124
777,30,0,128
778,30,0,144
779,0,30,66
780,0,30,12
781,0,30,184
782,0,30,38
783,0,30,278
784,0,30,72
785,0,30,814
786,0,30,140
787,0,30,40
788,0,30,34
789,30,0,312
790,30,0,748
791,30,0,132
792,0,30,20
793,0,30,96
794,0,30,114
795,0,30,32
796,30,0,312
797,0,30,98
798,0,30,314
799,0,30,176
800,0,30,388
801,0,30,52
802,30,0,52
803,0,30,138
804,0,30,212
805,0,30,48
806,30,0,1140
807,0,30,104
808,0,30,138
809,0,30,324
810,0,30,134
811,30,0,68
812,0,30,410
813,30,0,230
814,0,30,602
815,0,30,20
816,30,0,538
817,30,0,108
818,30,0,202
819,0,30,464
820,30,0,210
821,0,30,58
822,30,0,680
823,0,30,266
824,0,30,132
825,0,30,166
826,30,0,274
827,30,0,892
828,0,30,64
829,0,30,154
830,30,0,562
831,0,30,194
832,0,30,234
833,30,0,286
834,0,30,124
835,0,30,120
836,30,0,144
837,0,30,128
838,30,0,822
839,0,30,648
840,0,30,170
841,30,0,394
842,0,30,52
843,0,30,118
844,0,30,60
845,0,30,76
846,30,0,506
847,30,0,402
848,30,0,66
849,0,30,52
850,0,30,152
851,0,30,36
852,30,0,376
853,30,0,74
854,30,0,86
855,30,0,208
856,30,0,476
857,0,30,516
858,0,30,40
859,0,30,52
860,0,30,108
861,0,30,64
862,30,0,356
863,0,30,158
864,30,0,180
865,0,30,82
866,0,30,364
