player,player_fund,dealer_fund,round
901,20,0,76
902,0,20,474
903,20,0,44
904,20,0,166
905,20,0,16
906,20,0,86
907,20,0,166
908,20,0,52
909,0,20,54
910,20,0,24
911,20,0,30
912,20,0,58
913,0,20,90
914,20,0,32
915,0,20,192
916,20,0,118
917,20,0,30
918,20,0,20
919,0,20,40
920,20,0,150
921,0,20,48
922,20,0,202
923,20,0,48
924,0,20,46
925,0,20,192
926,0,20,232
927,20,0,120
928,20,0,274
929,20,0,58
930,20,0,44
931,0,20,262
932,20,0,208
933,20,0,68
934,20,0,196
935,0,20,34
936,0,20,64
937,20,0,176
938,20,0,238
939,0,20,170
940,20,0,16
941,20,0,52
942,0,20,90
943,20,0,114
944,20,0,22
945,20,0,68
946,20,0,22
947,20,0,14
948,20,0,132
949,0,20,82
950,20,0,78
951,0,20,72
952,20,0,214
953,20,0,170
954,0,20,112
955,0,20,106
956,0,20,40
957,20,0,100
958,0,20,46
959,20,0,20
960,0,20,56
961,0,20,68
962,20,0,102
963,0,20,112
964,20,0,18
965,20,0,72
966,0,20,54
967,0,20,66
968,0,20,114
969,0,20,92
970,20,0,244
971,20,0,188
972,0,20,94
973,0,20,184
974,0,20,182
975,0,20,34
976,0,20,26
977,20,0,50
978,20,0,374
979,20,0,172
980,0,20,44
981,20,0,24
982,0,20,78
983,0,20,102
984,20,0,46
985,20,0,104
986,0,20,38
987,0,20,126
988,20,0,148
989,0,20,58
990,20,0,36
991,0,20,24
992,0,20,84
993,0,20,80
994,20,0,298
995,20,0,28
996,0,20,116
997,0,20,146
998,20,0,248
999,20,0,108
1000,20,0,26
